timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:58:15.975, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.075, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.175, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.276, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.376, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.477, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.577, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.678, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.778, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.879, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:16.979, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.080, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.180, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.280, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.381, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.482, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.582, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.683, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.783, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.883, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:17.984, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.084, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.185, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.285, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.386, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.486, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.587, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.687, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.788, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.888, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:18.988, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.089, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.190, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.290, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.391, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.491, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.591, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.692, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.792, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.893, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:19.993, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.094, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.194, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.295, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.395, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.495, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.596, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.696, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.797, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.897, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:20.998, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.098, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.199, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.299, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.400, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.500, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.600, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.701, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.801, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:21.902, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.002, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.103, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.203, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.304, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.404, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.504, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.605, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.705, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.806, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:22.906, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.007, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.107, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.208, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.308, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.409, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.509, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.610, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.710, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.810, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:23.911, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.011, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.112, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.212, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.313, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.413, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.514, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.614, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.715, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.815, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:24.916, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.016, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.117, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.217, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.318, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.418, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.518, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.619, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.719, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.820, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:25.920, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.021, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.121, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.222, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.322, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.423, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.523, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.624, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.724, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.825, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:26.925, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.026, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.126, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.227, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.327, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.427, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.528, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.628, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.729, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.829, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:27.930, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:28.030, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:28.131, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:28.231, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:28.332, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:28.432, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:28.533, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
