timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/01/18 08:50:03.417, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:03.518, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.618, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.719, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.819, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.920, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:04.020, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:04.121, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:04.221, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:04.321, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:04.422, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:04.522, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:04.623, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:04.723, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:04.824, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:04.924, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:05.025, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:05.125, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:05.225, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:05.326, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:05.426, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:05.527, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:05.627, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:05.728, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:05.828, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:05.928, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:06.029, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:06.129, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:06.230, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
