timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:37:25.041, Tesla M60, 7613 MiB, 7247 MiB, 2 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.142, Tesla M60, 7613 MiB, 7265 MiB, 2 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.242, Tesla M60, 7613 MiB, 7283 MiB, 15 %, 3 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.343, Tesla M60, 7613 MiB, 7303 MiB, 15 %, 3 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.443, Tesla M60, 7613 MiB, 7324 MiB, 12 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.543, Tesla M60, 7613 MiB, 7332 MiB, 11 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.644, Tesla M60, 7613 MiB, 7341 MiB, 11 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.744, Tesla M60, 7613 MiB, 7356 MiB, 5 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.844, Tesla M60, 7613 MiB, 7356 MiB, 5 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:37:25.945, Tesla M60, 7613 MiB, 7356 MiB, 87 %, 56 %, 632 MHz, 2505 MHz
2017/12/19 06:37:26.045, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 81 %, 708 MHz, 2505 MHz
2017/12/19 06:37:26.145, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 81 %, 708 MHz, 2505 MHz
2017/12/19 06:37:26.245, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 73 %, 784 MHz, 2505 MHz
2017/12/19 06:37:26.346, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 73 %, 784 MHz, 2505 MHz
2017/12/19 06:37:26.446, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 84 %, 873 MHz, 2505 MHz
2017/12/19 06:37:26.546, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 92 %, 974 MHz, 2505 MHz
2017/12/19 06:37:26.647, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 92 %, 974 MHz, 2505 MHz
2017/12/19 06:37:26.747, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1075 MHz, 2505 MHz
2017/12/19 06:37:26.847, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1075 MHz, 2505 MHz
2017/12/19 06:37:26.947, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 83 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.048, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 84 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.148, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 84 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.248, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.349, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.449, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.549, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.650, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.750, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.850, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:27.950, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 93 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.051, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 82 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.151, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 82 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.251, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.352, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.452, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.552, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.653, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.753, Tesla M60, 7613 MiB, 7356 MiB, 69 %, 61 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.853, Tesla M60, 7613 MiB, 7356 MiB, 69 %, 61 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:28.954, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.054, Tesla M60, 7613 MiB, 1 MiB, 67 %, 10 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.155, Tesla M60, 7613 MiB, 1 MiB, 67 %, 10 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.255, Tesla M60, 7613 MiB, 1 MiB, 100 %, 15 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.355, Tesla M60, 7613 MiB, 1 MiB, 100 %, 15 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.456, Tesla M60, 7613 MiB, 1 MiB, 100 %, 15 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.556, Tesla M60, 7613 MiB, 1 MiB, 35 %, 5 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.657, Tesla M60, 7613 MiB, 1 MiB, 35 %, 5 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.757, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.857, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:29.958, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.058, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.159, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.259, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.359, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.460, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.560, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
2017/12/19 06:37:30.660, Tesla M60, 7613 MiB, 1 MiB, 0 %, 0 %, 1177 MHz, 2505 MHz
