timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/01/12 03:58:21.787, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 55 %
2018/01/12 03:58:21.888, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 71 %
2018/01/12 03:58:21.988, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 66 %
2018/01/12 03:58:22.088, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 86 %
2018/01/12 03:58:22.189, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 85 %
2018/01/12 03:58:22.289, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 34 %
2018/01/12 03:58:22.389, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 31 %
2018/01/12 03:58:22.490, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 30 %
2018/01/12 03:58:22.590, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:22.690, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:22.791, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 79 %
2018/01/12 03:58:22.891, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:22.991, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 57 %
2018/01/12 03:58:23.092, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:23.192, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:23.292, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:23.393, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 62 %
2018/01/12 03:58:23.493, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 62 %
2018/01/12 03:58:23.593, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 85 %
2018/01/12 03:58:23.694, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:23.794, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:23.895, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
2018/01/12 03:58:23.995, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 46 %
2018/01/12 03:58:24.095, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:24.196, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 84 %
2018/01/12 03:58:24.297, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 84 %
2018/01/12 03:58:24.397, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 44 %
2018/01/12 03:58:24.498, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 43 %
2018/01/12 03:58:24.598, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 29 %
2018/01/12 03:58:24.698, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 74 %
2018/01/12 03:58:24.799, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 74 %
2018/01/12 03:58:24.899, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:24.999, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 69 %
2018/01/12 03:58:25.100, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 65 %
2018/01/12 03:58:25.200, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:25.300, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:25.401, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:25.501, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 63 %
2018/01/12 03:58:25.601, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:25.702, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:25.802, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:25.902, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 31 %
2018/01/12 03:58:26.003, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 29 %
2018/01/12 03:58:26.103, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 38 %
2018/01/12 03:58:26.203, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:26.304, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:26.404, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 82 %
2018/01/12 03:58:26.504, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 82 %
2018/01/12 03:58:26.605, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 51 %
2018/01/12 03:58:26.705, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:26.805, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:26.906, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:27.006, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 70 %
2018/01/12 03:58:27.106, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 60 %
2018/01/12 03:58:27.207, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 82 %
2018/01/12 03:58:27.307, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 80 %
2018/01/12 03:58:27.407, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 26 %
2018/01/12 03:58:27.508, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 25 %
2018/01/12 03:58:27.608, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
2018/01/12 03:58:27.708, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 68 %
2018/01/12 03:58:27.809, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 66 %
2018/01/12 03:58:27.909, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 85 %
2018/01/12 03:58:28.009, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:28.110, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 41 %
2018/01/12 03:58:28.210, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 30 %
2018/01/12 03:58:28.310, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 30 %
2018/01/12 03:58:28.411, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 74 %
2018/01/12 03:58:28.511, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 73 %
2018/01/12 03:58:28.612, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 73 %
2018/01/12 03:58:28.712, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:28.812, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 64 %
2018/01/12 03:58:28.913, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:29.013, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:29.113, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 66 %
2018/01/12 03:58:29.214, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 62 %
2018/01/12 03:58:29.314, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 62 %
2018/01/12 03:58:29.414, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 83 %
2018/01/12 03:58:29.515, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:29.615, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 30 %
2018/01/12 03:58:29.715, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 39 %
2018/01/12 03:58:29.816, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 39 %
2018/01/12 03:58:29.916, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 72 %
2018/01/12 03:58:30.016, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 70 %
2018/01/12 03:58:30.117, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 81 %
2018/01/12 03:58:30.217, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
2018/01/12 03:58:30.317, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 49 %
2018/01/12 03:58:30.418, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:30.518, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 24 %
2018/01/12 03:58:30.618, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:30.719, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:30.819, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:30.919, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 77 %
2018/01/12 03:58:31.020, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 76 %
2018/01/12 03:58:31.120, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 23 %
2018/01/12 03:58:31.220, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 53 %
2018/01/12 03:58:31.321, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 53 %
2018/01/12 03:58:31.421, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
2018/01/12 03:58:31.521, Tesla M60, 7613 MiB, 4796 MiB, 100 %, 67 %
